cluster_id	q
0	5
1	2
2	5
3	4
4	2
5	2
6	3
7	1
8	5
9	4
10	4
11	2
12	5
13	5
14	4
15	1
16	4
17	5
18	5
19	5
20	4
21	4
22	5
23	3
24	5
26	5
27	5
28	1
29	5
30	5
32	3
33	5
34	4
35	1
36	5
37	5
38	5
39	1
40	5
41	5
42	3
43	5
44	5
45	5
46	5
47	4
48	4
50	5
51	3
52	1
53	4
54	1
55	4
56	5
57	1
58	4
59	4
60	5
61	5
62	5
63	4
64	5
65	5
66	5
67	4
68	4
69	5
70	4
71	4
72	2
73	4
74	5
75	4
76	1
77	4
78	5
79	5
80	5
81	5
82	4
83	4
84	5
85	3
86	5
87	5
88	3
89	5
90	5
91	5
92	4
93	4
94	3
95	5
96	4
97	5
98	3
99	5
101	5
102	3
103	5
105	5
106	5
107	5
108	5
109	5
110	2
111	4
112	5
113	2
114	1
115	5
116	5
117	4
118	5
119	5
120	4
121	4
122	5
123	5
124	2
125	2
126	5
127	5
128	4
129	3
130	4
131	3
132	3
133	4
134	4
135	5
136	5
137	5
138	5
139	4
140	4
141	4
142	4
143	4
144	3
145	3
146	5
154	1
158	4
160	3
161	2
162	3
163	2
164	3
165	3
166	5
167	2
168	5
169	1
170	1
171	1
172	1
173	4
174	3
175	1
176	1
177	1
178	5
179	1
181	1
182	1
183	5
184	3
185	1
186	3
187	5
188	1
189	4
190	4
191	2
192	3
193	3
194	1
195	5
196	5
197	5
198	2
199	3
200	2
201	5
202	3
203	3
204	1
205	2
206	4
207	1
208	3
209	3
210	3
212	1
214	5
215	5
216	5
217	3
218	4
219	1
220	1
221	1
222	4
223	2
224	3
225	2
227	1
228	2
229	1
230	5
231	1
232	1
233	1
234	3
235	3
236	1
237	5
239	1
241	1
242	1
244	1
245	1
246	1
247	3
248	1
249	1
250	1
253	4
267	1
268	1
269	5
271	2
272	5
273	1
275	1
276	1
278	1
280	1
281	3
282	4
283	5
284	5
285	4
286	2
287	1
288	1
289	3
290	1
291	3
292	3
293	3
294	1
295	1
296	1
297	1
298	4
299	3
300	5
301	1
302	4
303	4
304	2
306	5
307	1
308	3
309	3
310	5
311	1
312	1
313	1
314	1
316	3
317	4
319	4
320	3
321	4
322	5
323	2
324	1
325	4
327	4
328	1
329	2
330	2
331	5
332	3
333	5
334	4
335	2
336	3
337	4
338	1
339	1
340	5
341	4
342	3
343	1
344	5
345	4
346	5
347	5
348	4
349	4
350	1
352	1
353	3
354	4
355	5
356	1
357	5
358	2
359	5
361	4
362	1
363	4
364	3
365	4
366	1
367	3
368	4
369	4
370	1
371	3
372	1
373	5
374	3
375	3
376	5
378	3
379	4
380	3
383	1
385	4
386	1
387	4
388	5
389	5
390	5
391	4
393	1
395	1
397	1
398	2
399	2
400	2
401	1
402	1
403	1
405	1
406	1
407	4
408	1
409	1
410	1
411	1
412	1
413	5
414	4
415	3
416	2
417	1
418	2
419	2
420	3
421	2
423	4
424	3
425	1
426	5
427	2
430	2
431	2
432	4
433	4
434	3
435	5
436	3
437	3
438	3
439	4
440	1
441	1
442	5
443	4
444	4
445	5
446	5
447	1
448	5
449	4
450	4
451	4
452	4
453	2
454	3
455	1
456	5
457	5
459	4
460	4
461	3
462	3
463	2
464	3
465	5
466	3
467	2
468	5
469	1
470	3
471	3
472	2
474	1
475	5
476	3
478	3
479	4
481	1
482	4
483	1
484	3
485	1
487	5
488	5
489	4
490	3
491	3
492	4
494	4
495	4
496	1
498	2
499	3
500	3
501	4
502	3
503	1
504	2
505	4
507	4
508	2
509	1
510	5
511	1
512	3
513	2
514	3
515	3
516	2
517	4
518	4
520	3
521	3
522	4
523	2
524	5
525	3
527	5
528	4
529	5
530	5
531	4
532	3
533	4
534	4
535	4
536	3
537	5
538	3
539	5
540	4
541	5
542	5
543	5
544	5
545	1
546	2
547	1
548	1
549	1
550	2
551	2
552	1
553	2
554	2
555	4
556	4
557	2
558	2
559	2
560	2
561	2
565	4
566	2
567	3
568	5
569	5
570	5
571	5
572	4
573	2
574	3
575	4
576	4
577	3
578	4
579	3
580	3
581	1
582	2
583	2
584	3
585	3
586	3
587	3
588	3
589	4
590	1
591	2
592	2
593	2
594	3
595	2
596	3
597	3
598	4
599	5
600	4
601	2
